Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber
Abbeville,LA,-1,-1,-1,-1,-1,41676,-1.0,92.8,1102,12310,-1
Abbeville,SC,-1,-1,-1,-1,-1,25697,-1.0,94.8,557,5443,-1
Abbotsford,WI,-1,-1,-1,-1,-1,46304,-1.0,95.5,-1,-1,-1
Aberdeen,MS,-1,-1,-1,-1,-1,35944,-1.0,85.1,466,5966,-1
Aberdeen,SD,-1,-1,-1,-1,-1,52135,-1.0,96.2,1193,24818,-1
Aberdeen,WA,-1,-1,-1,-1,-1,47642,97.6,112.8,2397,15917,-1
Aberdeen,MD,-1,-1,-1,-1,-1,87599,-1.0,121.4,1429,14198,-1
Bel Air South,MD,-1,-1,-1,-1,-1,87599,-1.0,121.4,-1,-1,-1
Bel Air North,MD,-1,-1,-1,-1,-1,87599,-1.0,121.4,-1,-1,-1
Abernathy,TX,-1,-1,-1,-1,-1,50341,-1.0,92.6,66,2748,-1
Abilene,KS,-1,-1,-1,-1,-1,46526,-1.0,86.9,562,6284,-1
Abilene,TX,-1,-1,-1,-1,-1,50504,89.1,92.6,10976,116938,-1
Abingdon,IL,-1,-1,-1,-1,-1,44129,-1.0,90.5,-1,-1,-1
Ada,OH,-1,-1,-1,-1,-1,47452,-1.0,92.9,84,6104,-1
Ada,OK,-1,-1,-1,-1,-1,41844,-1.0,88.2,1801,17298,-1
Adams,NY,-1,-1,-1,-1,-1,51944,-1.0,143.7,-1,-1,-1
Adel,GA,-1,-1,-1,-1,-1,30166,-1.0,89.8,558,5236,-1
Adel,IA,-1,-1,-1,-1,-1,70462,-1.0,90.3,177,4462,-1
Adjuntas,PR,-1,-1,-1,-1,-1,13323,-1.0,-1.0,-1,-1,-1
Adrian,MI,-1,-1,-1,-1,-1,48594,90.5,91.4,-1,-1,-1
Aguadilla,PR,-1,-1,-1,-1,-1,16609,-1.0,-1.0,-1,-1,-1
Isabela,PR,-1,-1,-1,-1,-1,16609,-1.0,-1.0,-1,-1,-1
San Sebastián,PR,-1,-1,-1,-1,-1,16609,-1.0,-1.0,-1,-1,-1
Ahoskie,NC,-1,-1,-1,-1,-1,31985,-1.0,96.4,547,4617,-1
Air Force Academy,CO,-1,-1,-1,-1,-1,66354,-1.0,105.8,-1,-1,-1
Ajo,AZ,-1,-1,-1,-1,-1,36327,-1.0,107.0,-1,-1,-1
Akron,NY,-1,-1,-1,-1,-1,55893,-1.0,143.7,-1,-1,-1
Akron,OH,-1,-1,-1,-1,-1,52179,89.4,92.9,25138,205760,-1
Alachua,FL,-1,-1,-1,-1,-1,48953,-1.0,101.5,640,9757,-1
Alamogordo,NM,-1,-1,-1,-1,-1,41956,85.8,90.6,2271,36555,-1
Alamosa,CO,-1,-1,-1,-1,-1,35423,-1.0,105.8,1158,8660,-1
Albany,GA,-1,-1,-1,-1,-1,42428,87.3,89.8,11533,73034,-1
Albany,MN,-1,-1,-1,-1,-1,62222,-1.0,99.6,56,2239,-1
Albany,OR,-1,-1,-1,-1,-1,61758,105.4,127.5,2771,48777,-1
Albany,NY,-1,-1,-1,-1,-1,66722,100.1,143.7,11264,92713,-1
Schenectady,NY,-1,-1,-1,-1,-1,66722,-1.0,143.7,8167,60751,-1
Albemarle,NC,-1,-1,-1,-1,-1,45573,-1.0,96.4,1730,15446,-1
Albert Lea,MN,-1,-1,-1,-1,-1,46735,-1.0,99.6,851,17304,-1
Albertville,AL,-1,-1,-1,-1,-1,42552,90.9,88.6,2386,20588,-1
