Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber,COLIsEstimated
Erie,CO,18.0,861.5901579547472,17.0,218.27906976744185,24.758836806279895,103820,120.49812668061243,105.8,86,18772,29.0,T
Lincoln,ND,22.0,854.8317139376785,20.0,174.44444444444446,29.732137494637012,94292,110.30475175710941,97.8,18,3140,5.0,T
Becker,MN,28.0,838.1918951791666,74.0,73.11666666666666,79.12016177940993,92653,110.53912658054881,99.6,60,4387,7.0,T
Smithton,IL,43.0,809.3973962944405,80.0,71.0,90.82400563727631,80625,99.6111432642544,90.5,50,3550,6.0,T
Brandon,SD,47.0,804.6955678915012,81.0,70.59322033898304,93.64827814754524,84058,104.45937986243975,96.2,118,8330,13.0,T
Los Alamos,NM,4.0,951.8160233873455,152.0,48.44179894179894,152.0526224699857,109341,114.87619173595613,90.6,378,18311,29.0,T
Williamston,MI,116.0,750.7785238137736,107.0,59.078125,157.8131806916013,73125,97.39889685248674,91.4,64,3781,6.0,T
Plain City,OH,69.0,785.3554864250813,143.0,50.416666666666664,158.7765725792064,78798,100.33418160569113,92.9,72,3630,6.0,T
Hampshire,IL,3.0,954.6554210617946,167.0,45.5,167.0269439342048,110071,115.29919337552803,90.5,132,6006,9.0,T
Whispering Pines,NC,104.0,755.7046077105218,136.0,51.904761904761905,171.20747647226156,76860,101.70640646595314,96.4,42,2180,3.0,T
Purcellville,VA,1.0,973.7434598035273,184.0,42.89147286821706,184.00271737123884,140049,143.82535624758677,98.1,129,5533,9.0,T
Peotone,IL,30.0,825.530720076031,185.0,42.88235294117647,187.41664813991312,83059,100.61285180562427,90.5,102,4374,7.0,T
Winneconne,WI,163.0,723.416406335341,94.0,63.0,188.16216410320115,71964,99.4779761279577,95.5,40,2520,4.0,T
Heber,UT,89.0,766.5092641859572,181.0,43.166666666666664,201.69779374103229,81767,106.67450978148008,101.5,234,10101,16.0,T
St. Charles,MN,196.0,703.0650956721993,55.0,82.93023255813954,203.5706265648362,71583,101.81560774477023,99.6,43,3566,6.0,T
Kasson,MN,134.0,739.336190470394,156.0,47.13223140495868,205.65018842685265,76524,103.50365772208784,99.6,121,5703,9.0,T
Shallowater,TX,172.0,719.2052644400544,114.0,56.76190476190476,206.3492185592182,69808,97.06269329709346,92.6,42,2384,4.0,T
Mahomet,IL,11.0,883.2411050589087,214.0,39.90588235294118,214.28252378577213,92939,105.22494873446966,90.5,170,6784,11.0,T
Louisville,CO,18.0,861.5901579547472,222.0,39.25050505050505,222.72853431924702,103820,120.49812668061243,105.8,495,19429,30.0,T
Frederick,CO,50.5,803.1607267406193,218.0,39.63793103448276,223.77276420511947,91171,113.51526159650442,105.8,232,9196,14.0,T
Genoa,IL,188.0,707.8683006345365,128.0,54.0625,227.437903613272,67296,95.06853173065605,90.5,96,5190,8.0,T
East Hampton,CT,102.0,757.0018331558101,228.0,38.82248520710059,249.77589955798376,92757,122.53206787269201,119.5,338,13122,21.0,T
Lowell,MI,114.0,751.38627181866,224.0,39.20754716981132,251.34040662018512,73204,97.42525615063019,91.4,106,4156,6.0,T
Orange City,IA,109.0,754.1887629836201,229.0,38.74342105263158,253.6178227175685,72904,96.66545509321433,90.3,152,5889,9.0,T
Bluffton,OH,100.0,758.6019552090044,238.0,38.05882352941177,258.15499220429575,75076,98.96626219387429,92.9,102,3882,6.0,T
Monticello,IL,110.0,753.245924139532,240.0,37.87943262411348,264.0075756488817,72903,96.78512377385978,90.5,141,5341,8.0,T
Eagle,CO,35.0,817.5653492870354,263.0,36.38285714285714,265.31867631209076,93967,114.93515482517049,105.8,175,6367,10.0,T
Mission Viejo,CA,142.0,736.2252376399232,225.0,39.139727159983465,266.0620228442985,109542,148.7887054118829,146.9,2419,94679,148.0,T
Rose Hill,KS,90.0,765.6551614234756,251.0,37.38392857142857,266.6477076593759,72298,94.42632093746542,86.9,112,4187,7.0,T
Beecher,IL,40.0,812.9144093531037,264.0,36.310344827586206,267.0131082924582,81146,99.82108702510747,90.5,87,3159,5.0,T
Waterloo,IL,247.0,682.4121417781766,104.0,59.958333333333336,268.00186566514793,64335,94.27587239635105,90.5,168,10073,16.0,T
Ridgefield,WA,81.0,775.1843594005062,257.0,37.0234375,269.462427807663,91301,117.77972412989371,112.8,128,4739,7.0,T
Williamsburg,IA,128.0,745.2151726296817,244.0,37.69736842105263,275.5358415887124,71758,96.29165190878174,90.3,76,2865,4.0,T
Pleasant View,TN,45.0,805.3853106881884,272.0,35.86666666666667,275.6972977742074,79683,98.93773693477499,90.0,120,4304,7.0,T
Brillion,WI,218.0,694.6006849250799,169.0,45.225806451612904,275.835095664058,68322,98.3615499995789,95.5,62,2804,4.0,T
Decorah,IA,256.0,680.5828138724704,103.0,60.0,275.94383486499567,64028,94.07819106639644,90.3,130,7800,12.0,T
South Lyon,MI,52.5,802.3786343136268,274.0,35.65909090909091,278.98431855572096,80234,99.9951850271213,91.4,308,10983,17.0,T
Story City,IA,124.0,747.7763976715465,252.0,37.369565217391305,280.8558349046713,72083,96.39646320003503,90.3,92,3438,5.0,T
Carlisle,IA,275.0,671.4683296982419,62.0,78.66666666666667,281.9024654024863,63000,93.82423148432365,90.3,48,3776,6.0,T
Seward,NE,208.0,699.1810745263859,191.0,42.23456790123457,282.39157211220027,67888,97.09644965145294,93.6,162,6842,11.0,T
Louisburg,KS,199.0,702.4811816695784,203.0,40.93,284.27099746544667,64792,92.23307569038312,86.9,100,4093,6.0,T
Millstadt,IL,94.0,763.5175104659721,270.0,35.92631578947368,285.8950856520622,74242,97.23680070505569,90.5,95,3413,5.0,T
Edgewood,NM,266.0,676.047660663325,113.0,57.416666666666664,289.0069203323685,63661,94.166437818211,90.6,84,4823,8.0,T
