Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber
Abbeville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,176,2950,-1
Adamsville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,608,4796,-1
Addison,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,66,714,-1
Alabaster,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1096,30781,-1
Aliceville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,126,2423,-1
Anderson,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,18,358,-1
Ardmore,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,102,1328,-1
Argo,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,48,2005,-1
Ariton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,26,750,-1
Arley,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,34,320,-1
Ashford,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,182,2146,-1
Ashland,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,92,1900,-1
Ashville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,80,2708,-1
Attalla,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,714,6621,-1
Bayou La Batre,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,390,3253,-1
Bear Creek,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,36,993,-1
Bessemer,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,4956,28881,-1
Blountsville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,200,2042,-1
Boaz,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,1012,8656,-1
Brantley,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,0,912,-1
Bridgeport,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,154,2616,-1
Brilliant,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,66,943,-1
Brookside,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2,1343,-1
Brundidge,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,136,2271,-1
Butler,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,126,1681,-1
Calera,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,692,12424,-1
Camden,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,20,2153,-1
Camp Hill,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,78,1219,-1
Carbon Hill,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,80,2040,-1
Carrollton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,48,911,-1
Cedar Bluff,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,292,1666,-1
Centreville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,54,2646,-1
Chatom,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,48,1153,-1
Chickasaw,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,762,5948,-1
Citronelle,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,292,3791,-1
Clayhatchee,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,496,-1
Clayton,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,20,1396,-1
Cleveland,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,26,1460,-1
Clio,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,2,2391,-1
Coffeeville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,10,340,-1
Collinsville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,174,2026,-1
Columbia,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,18,866,-1
Coosada,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,42,1731,-1
Cottonwood,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,60,1231,-1
Courtland,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,24,767,-1
Creola,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,166,2100,-1
Crossville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,14,1535,-1
Dadeville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,458,3265,-1
Daleville,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,223,4561,-1
Dauphin Island,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,120,1640,-1
Dora,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,124,2431,-1
Douglas,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,126,643,-1
Eclectic,AL,-1,-1,-1,-1,-1,-1,-1.0,88.6,90,1183,-1
