,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
0,United States,62843
1,"Abbeville, LA Urban Cluster (2010)",41676
2,"Abbeville, SC Urban Cluster (2010)",25697
3,"Abbotsford, WI Urban Cluster (2010)",46304
4,"Aberdeen, MS Urban Cluster (2010)",35944
5,"Aberdeen, SD Urban Cluster (2010)",52135
6,"Aberdeen, WA Urban Cluster (2010)",47642
7,"Aberdeen&Bel Air South&Bel Air North, MD Urbanized Area (2010)",87599
8,"Abernathy, TX Urban Cluster (2010)",50341
9,"Abilene, KS Urban Cluster (2010)",46526
10,"Abilene, TX Urbanized Area (2010)",50504
11,"Abingdon, IL Urban Cluster (2010)",44129
12,"Ada, OH Urban Cluster (2010)",47452
13,"Ada, OK Urban Cluster (2010)",41844
14,"Adams, NY Urban Cluster (2010)",51944
15,"Adel, GA Urban Cluster (2010)",30166
16,"Adel, IA Urban Cluster (2010)",70462
17,"Adjuntas, PR Urban Cluster (2010)",13323
18,"Adrian, MI Urban Cluster (2010)",48594
19,"Aguadilla&Isabela&San Sebastián, PR Urbanized Area (2010)",16609
20,"Ahoskie, NC Urban Cluster (2010)",31985
21,"Air Force Academy, CO Urban Cluster (2010)",66354
22,"Ajo, AZ Urban Cluster (2010)",36327
23,"Akron, NY Urban Cluster (2010)",55893
24,"Akron, OH Urbanized Area (2010)",52179
25,"Alachua, FL Urban Cluster (2010)",48953
26,"Alamogordo, NM Urban Cluster (2010)",41956
27,"Alamosa, CO Urban Cluster (2010)",35423
28,"Albany, GA Urbanized Area (2010)",42428
29,"Albany, MN Urban Cluster (2010)",62222
30,"Albany, OR Urbanized Area (2010)",61758
31,"Albany&Schenectady, NY Urbanized Area (2010)",66722
32,"Albemarle, NC Urban Cluster (2010)",45573
33,"Albert Lea, MN Urban Cluster (2010)",46735
34,"Albertville, AL Urban Cluster (2010)",42552
35,"Albia, IA Urban Cluster (2010)",45082
36,"Albion, MI Urban Cluster (2010)",34959
37,"Albion, NY Urban Cluster (2010)",40354
38,"Albion, PA Urban Cluster (2010)",41250
39,"Albuquerque, NM Urbanized Area (2010)",54514
40,"Alderson, WV Urban Cluster (2010)",24868
41,"Aledo, IL Urban Cluster (2010)",50992
42,"Aledo, TX Urban Cluster (2010)",119267
43,"Alexander City, AL Urban Cluster (2010)",30920
44,"Alexandria, LA Urbanized Area (2010)",43263
45,"Alexandria, MN Urban Cluster (2010)",58734
46,"Alfred, NY Urban Cluster (2010)",28333
47,"Algoma, WI Urban Cluster (2010)",51657
48,"Algona, IA Urban Cluster (2010)",51119
49,"Alice, TX Urban Cluster (2010)",36503
50,"Allegan, MI Urban Cluster (2010)",46067
51,"Allendale, SC Urban Cluster (2010)",19030
52,"Allentown, PA&NJ Urbanized Area (2010)",65272
53,"Alliance, NE Urban Cluster (2010)",48805
54,"Alliance, OH Urban Cluster (2010)",40203
55,"Alma, GA Urban Cluster (2010)",26452
56,"Alma&St. Louis, MI Urban Cluster (2010)",38773
57,"Almont, MI Urban Cluster (2010)",53629
58,"Alpena, MI Urban Cluster (2010)",40086
59,"Alpine, TX Urban Cluster (2010)",46500
60,"Altavista, VA Urban Cluster (2010)",37271
61,"Alton, IL&MO Urbanized Area (2010)",52123
62,"Altoona, PA Urbanized Area (2010)",46207
63,"Alturas, CA Urban Cluster (2010)",36298
64,"Altus, OK Urban Cluster (2010)",47214
65,"Alva, OK Urban Cluster (2010)",48468
66,"Alvarado, TX Urban Cluster (2010)",51801
67,"Amarillo, TX Urbanized Area (2010)",52448
68,"American Falls, ID Urban Cluster (2010)",48438
69,"Americus, GA Urban Cluster (2010)",33335
70,"Amery, WI Urban Cluster (2010)",55833
71,"Ames, IA Urbanized Area (2010)",48298
72,"Amite City, LA Urban Cluster (2010)",42526
73,"Amory, MS Urban Cluster (2010)",33979
74,"Amsterdam, NY Urban Cluster (2010)",42275
75,"Anaconda-Deer Lodge County, MT Urban Cluster (2010)",38758
76,"Anacortes, WA Urban Cluster (2010)",71848
77,"Anadarko, OK Urban Cluster (2010)",41741
78,"Anamosa, IA Urban Cluster (2010)",41630
79,"Anchorage, AK Urbanized Area (2010)",81974
80,"Anchorage Northeast, AK Urban Cluster (2010)",107169
81,"Andalusia, AL Urban Cluster (2010)",37500
82,"Anderson, IN Urbanized Area (2010)",44747
83,"Anderson, SC Urbanized Area (2010)",45362
84,"Andrews, SC Urban Cluster (2010)",34507
85,"Andrews, TX Urban Cluster (2010)",76695
86,"Angels, CA Urban Cluster (2010)",53782
87,"Angola, IN Urban Cluster (2010)",52984
88,"Anna, IL Urban Cluster (2010)",37181
89,"Anna, TX Urban Cluster (2010)",89922
90,"Annandale, MN Urban Cluster (2010)",46464
91,"Ann Arbor, MI Urbanized Area (2010)",65491
92,"Anniston&Oxford, AL Urbanized Area (2010)",43840
93,"Antigo, WI Urban Cluster (2010)",40776
94,"Antioch, CA Urbanized Area (2010)",82388
95,"Apalachicola, FL Urban Cluster (2010)",41423
96,"Appleton, WI Urbanized Area (2010)",62340
97,"Apple Valley, OH Urban Cluster (2010)",71779
98,"Arab, AL Urban Cluster (2010)",48155
99,"Arbuckle, CA Urban Cluster (2010)",64076
100,"Arcade, NY Urban Cluster (2010)",40448
101,"Arcadia, LA Urban Cluster (2010)",23814
102,"Arcadia, WI Urban Cluster (2010)",48320
103,"Arcadia&Southeast Arcadia, FL Urban Cluster (2010)",28884
104,"Arcata&McKinleyville, CA Urban Cluster (2010)",43835
105,"Archbold, OH Urban Cluster (2010)",61154
106,"Archer Lodge&Clayton, NC Urban Cluster (2010)",98406
107,"Arcola, IL Urban Cluster (2010)",47297
108,"Ardmore, OK Urban Cluster (2010)",44093
109,"Arecibo, PR Urbanized Area (2010)",17564
110,"Arizona City, AZ Urban Cluster (2010)",40059
111,"Arkadelphia, AR Urban Cluster (2010)",32796
112,"Arkansas City, KS Urban Cluster (2010)",42664
113,"Arlington, TN Urban Cluster (2010)",99730
114,"Arroyo Grande&Grover Beach, CA Urbanized Area (2010)",76211
115,"Artesia, NM Urban Cluster (2010)",51394
116,"Arvin, CA Urban Cluster (2010)",38504
117,"Ashburn, GA Urban Cluster (2010)",35561
118,"Ashdown, AR Urban Cluster (2010)",29781
119,"Asheboro, NC Urban Cluster (2010)",40171
120,"Asheville, NC Urbanized Area (2010)",51549
121,"Ashland, MO Urban Cluster (2010)",70700
122,"Ashland, NE Urban Cluster (2010)",56591
123,"Ashland, OH Urban Cluster (2010)",47770
124,"Ashland, PA Urban Cluster (2010)",45526
125,"Ashland, WI Urban Cluster (2010)",35183
126,"Ashland City, TN Urban Cluster (2010)",48240
127,"Ashtabula, OH Urban Cluster (2010)",35101
128,"Ashville, OH Urban Cluster (2010)",70990
129,"Aspen, CO Urban Cluster (2010)",84388
130,"Astoria, OR Urban Cluster (2010)",51616
131,"Atchison, KS&MO Urban Cluster (2010)",46396
132,"Athens, AL Urban Cluster (2010)",48928
133,"Athens, OH Urban Cluster (2010)",33144
134,"Athens, TN Urban Cluster (2010)",33350
135,"Athens, TX Urban Cluster (2010)",37614
136,"Athens-Clarke County, GA Urbanized Area (2010)",42046
137,"Athol, MA Urban Cluster (2010)",47583
138,"Atlanta, GA Urbanized Area (2010)",69230
139,"Atlanta, TX Urban Cluster (2010)",40536
140,"Atlantic, IA Urban Cluster (2010)",40229
141,"Atlantic City, NJ Urbanized Area (2010)",61230
142,"Atmore, AL Urban Cluster (2010)",26778
143,"Atoka, TN Urban Cluster (2010)",74974
144,"Attica, IN Urban Cluster (2010)",50650
145,"Attica, NY Urban Cluster (2010)",60580
146,"Aubrey, TX Urban Cluster (2010)",79464
147,"Auburn, AL Urbanized Area (2010)",40694
148,"Auburn, IL Urban Cluster (2010)",55781
149,"Auburn, IN Urban Cluster (2010)",47736
150,"Auburn, NE Urban Cluster (2010)",52198
151,"Auburn, NY Urban Cluster (2010)",47680
152,"Auburn&North Auburn, CA Urban Cluster (2010)",65529
153,"Augusta, KS Urban Cluster (2010)",48430
154,"Augusta, ME Urban Cluster (2010)",39961
155,"Augusta-Richmond County, GA&SC Urbanized Area (2010)",53765
156,"Aumsville, OR Urban Cluster (2010)",57266
157,"Aurora, MO Urban Cluster (2010)",38579
158,"Aurora, NE Urban Cluster (2010)",61045
159,"Au Sable, MI Urban Cluster (2010)",42425
160,"Austin, MN Urban Cluster (2010)",47805
161,"Austin, TX Urbanized Area (2010)",77522
162,"Ava, MO Urban Cluster (2010)",35197
163,"Avalon, CA Urban Cluster (2010)",74630
164,"Avenal, CA Urban Cluster (2010)",41114
165,"Avon, NY Urban Cluster (2010)",56836
166,"Avondale&Goodyear, AZ Urbanized Area (2010)",73978
167,"Avra Valley, AZ Urban Cluster (2010)",53388
168,"Aztec, NM Urban Cluster (2010)",50541
169,"Bad Axe, MI Urban Cluster (2010)",39728
170,"Bainbridge, GA Urban Cluster (2010)",37097
171,"Baker City, OR Urban Cluster (2010)",44245
172,"Bakersfield, CA Urbanized Area (2010)",55601
173,"Bald Knob, AR Urban Cluster (2010)",29744
174,"Baldwin, WI Urban Cluster (2010)",65761
175,"Baldwin City, KS Urban Cluster (2010)",74007
176,"Ballinger, TX Urban Cluster (2010)",43006
177,"Baltimore, MD Urbanized Area (2010)",77238
178,"Baltimore, OH Urban Cluster (2010)",41964
179,"Bamberg, SC Urban Cluster (2010)",28458
180,"Bandon, OR Urban Cluster (2010)",32297
181,"Bangor, ME Urbanized Area (2010)",45438
182,"Baraboo, WI Urban Cluster (2010)",51582
183,"Barbourville, KY Urban Cluster (2010)",28663
184,"Bardstown, KY Urban Cluster (2010)",56692
185,"Bar Harbor, ME Urban Cluster (2010)",56681
186,"Barnesville, GA Urban Cluster (2010)",29116
187,"Barnesville, OH Urban Cluster (2010)",44116
188,"Barnstable Town, MA Urbanized Area (2010)",75258
189,"Barnwell, SC Urban Cluster (2010)",30523
190,"Barre&Montpelier, VT Urban Cluster (2010)",53316
191,"Barron, WI Urban Cluster (2010)",40625
192,"Barrow, AK Urban Cluster (2010)",89769
193,"Barstow, CA Urban Cluster (2010)",42785
194,"Bartlesville, OK Urban Cluster (2010)",52407
195,"Bartlett, TX Urban Cluster (2010)",40250
196,"Basalt&El Jebel, CO Urban Cluster (2010)",85530
197,"Basehor, KS Urban Cluster (2010)",75942
198,"Bastrop, LA Urban Cluster (2010)",21761
199,"Bastrop, TX Urban Cluster (2010)",62894
200,"Batavia, NY Urban Cluster (2010)",48561
201,"Batesburg-Leesville, SC Urban Cluster (2010)",45817
202,"Batesville, AR Urban Cluster (2010)",42791
